"","data.stations.groups","promBI","promDO"
"1","AGRONOMIA",3.35878136200717,13.1320788530466
"2","ALMAGRO",1.22437275985663,16.5872759856631
"3","BALVANERA",1.47480286738351,16.2637275985663
"4","BARRACAS",3.30410195141378,10.3066507367583
"5","BELGRANO",1.27489711934156,15.3432364263905
"6","BOCA",3.52544802867384,12.7131182795699
"7","BOEDO",2.15627240143369,13.5097968936679
"8","CABALLITO",1.45624253285544,15.080017921147
"9","CHACARITA",1.82177419354839,16.9462365591398
"10","COGHLAN",2.25849462365591,9.61749103942652
"11","COLEGIALES",1.06431131592422,15.5327188940092
"12","CONSTITUCION",2.94874551971326,16.7725806451613
"13","DEVOTO",3.80501792114695,13.2943847072879
"14","FLORES",3.6441935483871,11.4864874551971
"15","FLORESTA",4.18867383512545,9.43154121863799
"16","MONSERRAT",0.961379928315412,14.4478046594982
"17","MONTSERRAT",0.726164874551971,21.426523297491
"18","NUEVA POMPEYA",5.61393866985265,9.53596176821983
"19","NUÑEZ",1.75023041474654,15.199795186892
"20","PALERMO",1.01766381766382,17.2139141623013
"21","PARQUE AVELLANEDA",7.62329749103943,15.3953405017921
"22","PARQUE CHACABUCO",3.39483870967742,12.9356272401434
"23","PARQUE CHAS",2.2520908004779,14.5531660692951
"24","PARQUE PATRICIOS",2.67048984468339,14.7491835921943
"25","PATERNAL",2.9404423034815,10.6244799649661
"26","PUERTO MADERO",2.94480286738351,18.151449983708
"27","RECOLETA",0.783888035500939,15.036832223929
"28","RETIRO",1.60705817480011,19.1238489109457
"29","SAAVEDRA",2.87192353643967,14.7792114695341
"30","SAN CRISTOBAL",2.19139784946237,14.9641577060932
"31","SAN NICOLAS",0.960307978229125,15.484109916368
"32","SAN TELMO",1.58219832735962,13.9083632019116
"33","VELEZ SARFIELD",5.17204301075269,10.6530465949821
"34","VILLA CRESPO",1.59462365591398,14.2955794504182
"35","VILLA DEL PARQUE",2.71451612903226,9.66863799283154
"36","VILLA GENERAL MITRE",3.12043010752688,10.8058781362007
"37","VILLA LUGANO",6.62508960573477,5.44014336917563
"38","VILLA ORTUZAR",2.04530465949821,13.9965591397849
"39","VILLA SANTA RITA",3.78183990442055,9.86786140979689
"40","VILLA SOLDATI",5.93870967741935,3.24910394265233
"41","VILLA URQUIZA",2.17123655913979,14.7740143369176
